id,milestone,workstream,db_catalog,status,owner,grammar,ast,parser,semantic,tests,summary
M1-1,Milestone1,ConformanceMatrix,No,closed,parser-core,meta_tracking,docs/conformance_matrix.csv,N/A,N/A,tests/conformance_matrix_tests.rs::conformance_matrix_rows_are_well_formed,Feature matrix maps each gap to implementation and tests
M1-2,Milestone1,ConformanceStatusOutput,No,closed,parser-core,meta_tracking,docs/conformance_status.md,scripts/generate_conformance_status.sh,N/A,tests/conformance_matrix_tests.rs::generated_status_lists_every_row,Generated status report classifies every tracked row
M1-3,Milestone1,OwnershipTraceability,No,closed,parser-core,meta_tracking,docs/conformance_matrix.csv,N/A,N/A,tests/conformance_matrix_tests.rs::every_matrix_row_has_owner_and_traceability,Every row has explicit owner and test traceability
M3-5-1,Milestone3,GraphTypeModeling,No,closed,parser-core,elementTypeSpecification;nodeTypeSpecification,src/ast/graph_type.rs,src/parser/graph_type.rs,N/A,tests/graph_type_tests.rs::test_graph_type_parser_supports_abstract_inheritance_and_constraints,ABSTRACT type grammar forms implemented
M3-5-2,Milestone3,GraphTypeModeling,No,closed,parser-core,elementTypeSpecification;nodeTypeSpecification;edgeTypeSpecification,src/ast/graph_type.rs,src/parser/graph_type.rs,N/A,tests/graph_type_tests.rs::test_graph_type_parser_supports_abstract_inheritance_and_constraints|tests/graph_type_tests.rs::test_graph_type_parser_supports_edge_constraints_and_inheritance,Inheritance grammar forms implemented for node and edge types
M3-5-3,Milestone3,GraphTypeModeling,No,closed,parser-core,nodeTypeFiller;edgeTypeFiller,src/ast/graph_type.rs,src/parser/graph_type.rs,N/A,tests/graph_type_tests.rs::test_graph_type_parser_supports_abstract_inheritance_and_constraints|tests/graph_type_tests.rs::test_graph_type_parser_supports_edge_constraints_and_inheritance,Constraint grammar forms implemented for graph type elements
M3-5-4,Milestone3,GraphTypeModeling,No,closed,parser-core,createGraphTypeStatement;graphTypeSource,src/ast/catalog.rs;src/ast/graph_type.rs,src/parser/program.rs;src/parser/graph_type.rs,N/A,tests/graph_type_tests.rs::test_graph_type_parser_supports_abstract_inheritance_and_constraints,GraphTypeSource detailed payload embeds full nested graph model
M3-4-1,Milestone3,SchemaSemantics,Yes,open,schema-integration,schemaModelExpansion,src/semantic/schema.rs,N/A,src/semantic/validator/schema_validation.rs,tests/semantic_validator_tests.rs::test_valid_query_no_errors,Blocked on DB catalog schema metadata ingestion
M3-4-2,Milestone3,SchemaSemantics,Yes,open,schema-integration,schemaAwareContextPropagation,src/semantic/schema.rs,src/semantic/validator/scope_analysis.rs,src/semantic/validator/type_inference.rs,tests/semantic_validator_scope_and_agg_tests.rs::test_group_by_no_aggregation,Blocked on DB catalog derived label and type context
M3-4-3,Milestone3,SchemaSemantics,Yes,open,schema-integration,schemaConstraintChecks,src/semantic/schema.rs,src/semantic/validator/schema_validation.rs,src/semantic/validator/type_checking.rs,tests/semantic_validator_tests.rs::test_unknown_property_validation,Blocked on DB catalog property and constraint metadata
